,Common_growth_component_median,Recession_prob_filtered_median,Common_growth_component_mean,Recession_prob_filtered_mean
1952-01-31,0.5858105603093462,0.00041265713952961234,0.5865259357053808,0.0018809494938041692
1952-02-29,0.6268833635864661,0.0003797291042223522,0.621272617807286,0.0018090797962160678
1952-03-31,-0.22056337569914802,0.00300006751463529,-0.24196102861935462,0.017243499715530842
1952-04-30,-1.4125264802406212,0.052884121435865655,-1.4464132649891008,0.16099849932798502
1952-05-31,-1.303282682198438,0.09581605315657438,-1.3146064941856659,0.25146639668774534
1952-06-30,-2.098101789897478,0.524572646273658,-2.0967417926649308,0.5131199680733075
1952-07-31,-2.291703020105232,0.877108665931531,-2.295690747640229,0.6903314005501076
1952-08-31,6.1392863794767045,3.383437105586929e-08,6.137279224108521,1.287173240415738e-06
1952-09-30,3.401382635192835,3.0371574229745477e-06,3.3992230385849047,2.431986615535202e-05
1952-10-31,1.4003770615249886,0.0001526117750059763,1.404951667371418,0.0007305827429902831
1952-11-30,1.7863754210539593,2.708175104542822e-05,1.7817680011008852,0.00016076859578946007
1952-12-31,-0.40364994331629056,0.007061706536210773,-0.4085144105641029,0.025096569378967128
1953-01-31,-0.16361452327178747,0.0034868491341966037,-0.16302736772139398,0.01431647871890769
1953-02-28,0.4055910093937998,0.0007570012515360651,0.40676584504548113,0.0037953047596844943
1953-03-31,0.5408314427894241,0.0004699387319126669,0.5401968240646587,0.002144048955577107
1953-04-30,0.07883352808733328,0.0014356744297437326,0.07949021665104063,0.005840996455333912
1953-05-31,0.2979247628614917,0.0008286181355449052,0.296760988794106,0.003641491205749534
1953-06-30,-0.5334578761190119,0.006282250482707008,-0.5415234305039381,0.02344374892146504
1953-07-31,0.6288810033803822,0.0004862552943722328,0.609360946067258,0.0045776499355046395
1953-08-31,-1.4434301492983872,0.06365302503890588,-1.4168190809181422,0.15876041216582037
1953-09-30,-3.144740414628294,0.883206282670612,-3.13841606987102,0.7897657052673056
1953-10-31,-2.0199396447928595,0.90138153732644,-2.0151868091659106,0.809123039267581
1953-11-30,-3.738808072573683,0.9987079649662354,-3.7383022450767256,0.9923662254462757
1953-12-31,-3.1833020712883857,0.9975007353072622,-3.1839132603545806,0.9907216718099189
1954-01-31,-2.416152051117203,0.9868692213481095,-2.403922913514081,0.9457959506781396
1954-02-28,-0.9383066572391181,0.6925847978566149,-0.9354584499264613,0.5970435001278261
1954-03-31,-0.6987132029751119,0.3346653596467265,-0.7254435759248699,0.41233785568276665
1954-04-30,-1.3201052430512532,0.4016833822822605,-1.349410036654865,0.4592157040186663
1954-05-31,-0.07249710470884427,0.041852252085241445,-0.09286964801462692,0.17431383933835065
1954-06-30,0.05608512768630054,0.007505940460626577,0.04680505429746204,0.0632004258229406
1954-07-31,-0.42365095818627563,0.008784464102117999,-0.42660566202289674,0.05802019973607008
1954-08-31,-0.42196715476634217,0.007418080707326988,-0.4236145569020447,0.045757473688001794
1954-09-30,-0.10291501855318017,0.0032736298087612066,-0.10876275597808366,0.021812386240993232
1954-10-31,0.8714231509374215,0.0002547646050084368,0.8688973816597326,0.002638578803854521
1954-11-30,1.525235726382843,4.42012731568137e-05,1.5243170636840677,0.00031975026602353696
1954-12-31,0.7043154737146344,0.0004043182584690082,0.7042474049744294,0.0017974679042072389
1955-01-31,1.5027657252760527,4.6315409364582054e-05,1.4938561726592983,0.0002789691027582915
1955-02-28,0.8356035529150053,0.0002897577948996631,0.8330141950187984,0.001391788931067616
1955-03-31,2.0041370276559842,1.3600564949829492e-05,2.001562564564834,7.863548105531709e-05
1955-04-30,0.8642171295902098,0.0003261850589378897,0.8662579086509312,0.0014800806941178317
1955-05-31,1.6837639009840393,3.0347951982301027e-05,1.6846615003214929,0.00016511225411915158
1955-06-30,-0.14133175747588356,0.003509900682438079,-0.14372093202531586,0.012774605212851597
1955-07-31,1.0440023075622233,0.00017082268414987878,1.0460490797811248,0.0008770090267383755
1955-08-31,-0.3646938876279908,0.004944319776396909,-0.3679483359810194,0.018119070352166863
1955-09-30,0.2963094455686691,0.0010497267111969208,0.2966575312594183,0.004575330223419243
1955-10-31,1.143121801168634,0.000111047149092986,1.1394354038604004,0.0006283997026909241
1955-11-30,0.49028057239012507,0.0006014980473421556,0.490908267735155,0.0025924012038804505
1955-12-31,-0.3694522593725283,0.004409757828561565,-0.3702046688783862,0.015483530030821318
1956-01-31,0.570752744256253,0.0005181872906165968,0.5666878987739287,0.0024673558402927794
1956-02-29,-0.986882064426676,0.020271036464604184,-0.9940078439580569,0.06007658521728738
1956-03-31,-0.31255190726698506,0.00657874804966014,-0.3062371245462182,0.0264519710956241
1956-04-30,0.6387476321209126,0.0005380068444886647,0.6361631222939027,0.0035345621308601085
1956-05-31,0.9354187974990372,0.0001877906177487594,0.9313984541317996,0.0012396446764666841
1956-06-30,-0.8440529693098424,0.015958445696092553,-0.8751011664445144,0.07283208760920379
1956-07-31,-4.104791447088537,0.9805976401092935,-4.064517688400339,0.9101830630363419
1956-08-31,3.6730799503866582,1.070549447561265e-05,3.6718711581857213,0.00013027659395560778
1956-09-30,1.3375966902486556,0.0001987656316527254,1.3347495633951485,0.0011031396112541158
1956-10-31,1.0065304497523786,0.00019191487484838873,1.0046366764310766,0.0009136207761479162
1956-11-30,-0.7487444654867654,0.012851379166266903,-0.7555149957332823,0.040710634803965966
1956-12-31,0.2891661181711733,0.0014536888357130377,0.2882438850045948,0.006822229830201242
1957-01-31,-0.3335380865789419,0.004256809030746413,-0.3340857570124822,0.015970938057531258
1957-02-28,0.4964428294637895,0.0006019916638533361,0.5003578788509948,0.0032165858734178126
1957-03-31,-0.5267973785539364,0.006586937670169286,-0.5348010817664322,0.024196893209689246
1957-04-30,-1.323455595976324,0.04550631166489469,-1.331366016312292,0.11442775131180649
1957-05-31,0.5858762449630659,0.0013880703045988422,0.5941640609129701,0.009426983692688561
1957-06-30,-0.11764499129985942,0.0029434155407361984,-0.12204233375210279,0.012909045701533613
1957-07-31,0.5065382608746212,0.0005662544246733783,0.49956932889442096,0.003848603329293319
1957-08-31,-0.4800855670831941,0.005852093501745089,-0.5231416414625211,0.037188857269049455
1957-09-30,-2.0456416126476933,0.23482094687473518,-2.014603767090482,0.3196811031872321
1957-10-31,-2.754201020334385,0.8690485393055123,-2.7511265842893105,0.7647492436892862
1957-11-30,-3.7531281433113812,0.9979467488513807,-3.7544701421364786,0.9871913097692112
1957-12-31,-2.8426927719963944,0.9938952523577383,-2.8495983793594104,0.9794593113390809
1958-01-31,-2.961451956794262,0.9965757032098703,-2.96075552646031,0.9876316463487621
1958-02-28,-4.129833584448455,0.9998129198059904,-4.133099955343267,0.9992015982711553
1958-03-31,-2.34064737244071,0.9782294544090886,-2.333537473976246,0.9307242705013654
1958-04-30,-2.687658154084335,0.9924980750270148,-2.6699376331121525,0.9640833948596698
1958-05-31,0.687494716043128,0.03513777206842808,0.6845706954052033,0.1019226673189655
1958-06-30,1.3732831417842326,0.0004460486191661816,1.3639351791209582,0.005517363334527438
1958-07-31,1.300382664600426,0.00010925298868480051,1.2941154725341022,0.0008377578500614035
1958-08-31,1.489096379993636,5.4048601704814976e-05,1.486374012439074,0.0003112236274136797
1958-09-30,0.4124021530225131,0.0008202307262355175,0.41596983876488763,0.0034280226652769062
1958-10-31,0.602191537856305,0.0004011625454104098,0.6083062214809626,0.0018697878766452103
1958-11-30,2.160876668955374,8.647932019662389e-06,2.165596183101453,6.163920757962825e-05
1958-12-31,-0.214332131999452,0.005157614158368965,-0.21574943939173016,0.018465943967563563
1959-01-31,1.3931245121605471,9.000563423297414e-05,1.3901804123171992,0.0005237086504073057
1959-02-28,1.3092985381189646,8.646825133466131e-05,1.3049741133798416,0.0004670536812353392
1959-03-31,1.4000919136636734,6.539445543621625e-05,1.4015844903153833,0.00029998812131094046
1959-04-30,2.030080673735191,1.3781986219096408e-05,2.027266644096487,7.83890059500582e-05
1959-05-31,1.6507986421313343,4.4472326912140394e-05,1.6554247901175565,0.0002174860781036951
1959-06-30,-0.13565648321231927,0.003528659119365894,-0.16637964724587095,0.018649975803071397
1959-07-31,-2.575934947103142,0.5048383380689698,-2.5472269878695593,0.5010851739215433
1959-08-31,-4.073900886070179,0.996165441376654,-4.072941411739616,0.9768418124377485
1959-09-30,-1.5364996756531593,0.8487520185912487,-1.5220717201607281,0.7165230820107052
1959-10-31,-1.1680755382790342,0.6643225726223243,-1.1916637900734535,0.5850265763911517
1959-11-30,0.3980763794770392,0.03467782015877185,0.3931750566642812,0.10678655572008693
1959-12-31,4.9933998197976575,1.3968484248560857e-07,4.992731305607776,7.166827232971925e-06
1960-01-31,2.2741375235812864,3.1997873037726014e-05,2.2759222477434156,0.00017625621689418823
1960-02-29,-0.8412090408307713,0.02557782283754259,-0.8664491627810528,0.09119814737982947
1960-03-31,-2.0383489493155333,0.297740009680837,-2.05326485481595,0.3860378248581799
1960-04-30,-0.28402916256764565,0.03626732641844427,-0.3048120201991427,0.16826292243614574
1960-05-31,-1.018523445026048,0.0629989387226362,-1.0351711770662115,0.2339586320411282
1960-06-30,-1.5087000704998736,0.20507353660655522,-1.512950870088711,0.3550040883562178
1960-07-31,-0.8137976358674006,0.10409306418260941,-0.8119525874010814,0.2908697075585576
1960-08-31,-1.1906324025030204,0.18073194447376706,-1.186323373445667,0.3464470573765503
