location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1954-12-31,-0.00695871865237113
usa,accruals,monthly,vw_cap,6,1955-01-31,0.00895628418855116
usa,accruals,monthly,vw_cap,6,1955-02-28,0.00247572024320686
usa,accruals,monthly,vw_cap,6,1955-03-31,-0.00592151464365757
usa,accruals,monthly,vw_cap,6,1955-04-30,-0.0123840850186427
usa,accruals,monthly,vw_cap,6,1955-05-31,-0.000560395789024586
usa,accruals,monthly,vw_cap,6,1955-06-30,-0.00415846585727883
usa,accruals,monthly,vw_cap,6,1955-07-31,-0.00492076972601075
usa,accruals,monthly,vw_cap,6,1955-08-31,0.00572353686161342
usa,accruals,monthly,vw_cap,6,1955-09-30,-0.0063333703172296
usa,accruals,monthly,vw_cap,6,1955-10-31,-0.000289050675065045
usa,accruals,monthly,vw_cap,6,1955-11-30,-0.00841940096652559
usa,accruals,monthly,vw_cap,6,1955-12-31,-3.72930037431379e-05
usa,accruals,monthly,vw_cap,6,1956-01-31,0.00816312285201455
usa,accruals,monthly,vw_cap,6,1956-02-29,-0.000576837720764195
usa,accruals,monthly,vw_cap,6,1956-03-31,-0.0115396916135922
usa,accruals,monthly,vw_cap,6,1956-04-30,-0.00258388736252614
usa,accruals,monthly,vw_cap,6,1956-05-31,0.00139744171075725
usa,accruals,monthly,vw_cap,6,1956-06-30,-0.00836139036713141
usa,accruals,monthly,vw_cap,6,1956-07-31,0.00131681115779705
usa,accruals,monthly,vw_cap,6,1956-08-31,0.00236683492287609
usa,accruals,monthly,vw_cap,6,1956-09-30,0.007899312085819
usa,accruals,monthly,vw_cap,6,1956-10-31,-0.00345901776212744
usa,accruals,monthly,vw_cap,6,1956-11-30,0.00792004327838831
usa,accruals,monthly,vw_cap,6,1956-12-31,0.00227340977782666
usa,accruals,monthly,vw_cap,6,1957-01-31,-0.00340086065118795
usa,accruals,monthly,vw_cap,6,1957-02-28,0.0110049968366908
usa,accruals,monthly,vw_cap,6,1957-03-31,-0.00248335747815217
usa,accruals,monthly,vw_cap,6,1957-04-30,0.00328547552881176
usa,accruals,monthly,vw_cap,6,1957-05-31,-0.00136112584445436
usa,accruals,monthly,vw_cap,6,1957-06-30,-0.000771906616200431
usa,accruals,monthly,vw_cap,6,1957-07-31,0.0134336366843803
usa,accruals,monthly,vw_cap,6,1957-08-31,0.00787785351965507
usa,accruals,monthly,vw_cap,6,1957-09-30,0.0142701033264475
usa,accruals,monthly,vw_cap,6,1957-10-31,0.000170985175304374
usa,accruals,monthly,vw_cap,6,1957-11-30,-0.00451705951860463
usa,accruals,monthly,vw_cap,6,1957-12-31,0.0199253879424825
usa,accruals,monthly,vw_cap,6,1958-01-31,-0.0121228461934133
usa,accruals,monthly,vw_cap,6,1958-02-28,0.0158102965513751
usa,accruals,monthly,vw_cap,6,1958-03-31,0.0148096740043644
usa,accruals,monthly,vw_cap,6,1958-04-30,0.0139940424344923
usa,accruals,monthly,vw_cap,6,1958-05-31,-0.00730716911055356
usa,accruals,monthly,vw_cap,6,1958-06-30,-0.00199222288287236
usa,accruals,monthly,vw_cap,6,1958-07-31,-0.010250177827482
usa,accruals,monthly,vw_cap,6,1958-08-31,-0.00114915857558563
usa,accruals,monthly,vw_cap,6,1958-09-30,-0.00137757372695175
usa,accruals,monthly,vw_cap,6,1958-10-31,-0.0118129187887617
usa,accruals,monthly,vw_cap,6,1958-11-30,0.00724285908446764
usa,accruals,monthly,vw_cap,6,1958-12-31,0.00991311064521079
usa,accruals,monthly,vw_cap,6,1959-01-31,-0.000505266551731191
usa,accruals,monthly,vw_cap,6,1959-02-28,-0.00727772485272163
usa,accruals,monthly,vw_cap,6,1959-03-31,0.00594737054206528
usa,accruals,monthly,vw_cap,6,1959-04-30,0.0135605126443972
usa,accruals,monthly,vw_cap,6,1959-05-31,0.0104509323627118
usa,accruals,monthly,vw_cap,6,1959-06-30,-0.00735593731874806
usa,accruals,monthly,vw_cap,6,1959-07-31,0.00160266224872326
usa,accruals,monthly,vw_cap,6,1959-08-31,0.00774309921596224
usa,accruals,monthly,vw_cap,6,1959-09-30,0.00701343986367468
usa,accruals,monthly,vw_cap,6,1959-10-31,0.00473035084099782
usa,accruals,monthly,vw_cap,6,1959-11-30,-0.00540408546008621
usa,accruals,monthly,vw_cap,6,1959-12-31,0.0047950205176626
usa,accruals,monthly,vw_cap,6,1960-01-31,-0.00168040497258604
usa,accruals,monthly,vw_cap,6,1960-02-29,0.0127397162915564
usa,accruals,monthly,vw_cap,6,1960-03-31,-0.0065474056067184
usa,accruals,monthly,vw_cap,6,1960-04-30,0.0156986503233555
usa,accruals,monthly,vw_cap,6,1960-05-31,-0.0123732638018856
